width,depth,lr,lambda_pde,lambda_bc,relative_l2_error,max_error
40,3,0.0002,0.5,50,0.022531436049893945,0.07590977102518082
40,3,0.0005,0.5,50,0.009673909325421398,0.04041833430528641
40,3,0.001,0.5,50,0.03668438455723393,0.15463390503866692
