width,depth,lr,lambda_pde,lambda_bc,relative_l2_error,max_error
40,3,0.001,100,0.5,0.016955377694091615,0.04573093727231026
40,3,0.001,100,1.0,0.007800696743609995,0.01949254423379898
40,3,0.001,50,0.5,0.03806083424687384,0.15786718879683037
40,3,0.001,50,1.0,0.04706800282987435,0.2732448875904083
